from,to
8708364,7964527
8008776,7964527
10836685,9081267
10836685,103254
6063482,2901002
8353711,2901002
9840637,10620028
10620028,7835267
7703958,4985733
7703958,8557832
7703958,9840637
9081267,6484158
7964527,7988497
10521959,2901002
4981721,2901002
10189214,10330386
6282576,10330386
4238408,2901002
7964527,1481986
3483203,1481986
4238408,1481986
7236077,7093741
9165263,7093741
2336654,2901002
2535611,2901002
10419999,2901002
5950399,2901002
8708364,2901002
10302056,4238408
10302056,8347081
9081267,7964527
10113401,7964527
9237823,7964527
7964527,2535611
6361531,6342575
1939996,4238408
9698684,4238408
1695172,2901002
6792743,9698684
2336654,9698684
4125116,9698684
4238408,9698684
5069029,9081267
6272103,10201580
6422477,10201580
7896849,7932273
6287308,3483203
7964527,3483203
5847854,10286422
5847854,9081267
11015427,4125116
4238408,4125116
2535611,4125116
11390041,827391
6029105,827391
11390041,1240268
6029105,1240268
7917887,7964527
2901002,7964527
9081267,7964527
7964527,4909087
7964527,1252759
10758169,7964527
2901002,7093741
9698684,7093741
4110614,7093741
8708364,2901002
3545273,7388477
10189214,7388477
5094841,5853611
5094841,10201580
9081267,4238408
7964527,4333359
4125116,4333359
7964527,2336654
8874696,2901002
4703367,4983450
4870005,4983450
1240268,4983450
11035597,9081267
2901002,11323870
8144553,11323870
10002343,11323870
6256482,7964527
2832011,1499803
10119199,4333359
10119199,7964527
6625815,7964527
10991314,4333359
10868996,4333359
10337630,2901002
2901002,7932273
5858851,4909087
9512152,6792743
4333359,6792743
10799544,6792743
6031995,6615163
6031995,9510729
6031995,11076781
4004863,3545273
9803111,3545273
6287308,2901002
7964527,9081267
7964527,4909087
5238915,6361531
3735873,6361531
11015427,8123710
3284713,7237062
3967578,7237062
6797250,7237062
3284713,9803111
3967578,9803111
6797250,9803111
4333359,6287308
9512152,2901002
4550141,8111755
6220759,8111755
11161774,6779307
7964527,6779307
3711940,6779307
11180560,6779307
2901002,4909087
7505395,7964527
7671519,9698684
6792743,9698684
6286540,9698684
2901002,9698684
4819353,1782792
8727339,9698684
10712188,10201580
4593642,2901002
7964527,2336654
4909087,2336654
221794,7093741
9960182,2901002
9462009,2901002
5496433,9698684
6942527,9698684
6177877,4492932
7386332,2901002
4333359,2901002
4333359,8123710
6220759,8795073
10164573,8795073
6220759,7093741
10164573,7093741
6177877,2901002
4139744,2901002
7964527,2901002
8120908,2695448
7932273,2695448
9698684,2901002
9840637,2901002
11035961,4909087
7678879,2901002
4001592,4267414
6361531,2901002
9840637,2901002
9962315,3483203
2406949,3483203
11019173,4333359
9209546,9698684
9869695,2901002
4541412,9209546
9698684,9209546
9334238,9209546
10089328,9209546
4194079,6220759
4194079,2825570
5916727,4565947
7964527,4565947
9209546,7964527
9840637,9209546
2702737,2901002
6063482,2901002
7227627,100297
2901002,6047722
7093741,2901002
5625497,9209546
5704863,7359176
10611983,7964527
9209546,3152047
4838587,6361531
2901002,6361531
9209546,9177877
4333359,9177877
3679377,9209546
9209546,9698684
4909087,9698684
2131903,3149277
2131903,974555
2131903,2303761
7168104,9274732
5704863,4001592
9637318,2303761
772649,2303761
1869152,6615163
5704863,9698684
9754169,9698684
9209546,4909087
9209546,7964527
6615163,9845763
8252763,9845763
6287308,1212401
2966617,1212401
5866580,4909087
7964527,4909087
7964527,4909087
7057003,4492932
2901002,4542359
7420623,6109920
8046232,6109920
8468264,9500059
8046232,7964527
4800652,2901002
8708364,2901002
4909087,7964527
541038,8146556
10239789,2901002
4098013,2901002
9209546,9698684
4684861,9698684
10239789,9209546
5720196,2901002
8727339,2901002
9698684,2901002
7141506,6345518
7141506,6154787
7954504,10633290
7835267,10633290
4267414,9209546
10417489,7964527
5120049,2901002
5178905,2901002
8146556,2336654
8146556,5820814
4333359,7964527
4801783,8643941
4801783,67579
9209546,2901002
6858244,2901002
5704863,2901002
8683073,2901002
5806755,3483203
10325516,8146556
4585713,7964527
7964527,487339
3483203,487339
4333359,3483203
6671176,3483203
3877338,1541036
5182136,1541036
2799941,4333359
9371607,4333359
6348485,4333359
3483203,6287308
6671176,6287308
7964527,4800652
5741205,381179
2336654,381179
9209546,7964527
6887528,2901002
2961541,2336654
9769953,2336654
6480402,2336654
6671176,2336654
6480402,7964527
6671176,7964527
2336654,7964527
7111382,6287308
3023116,6287308
2535611,3483203
7964527,3483203
6660373,3483203
4198852,3483203
10320838,3483203
2535611,3483203
6361531,1422451
9840637,9209546
8136350,4557382
8305660,7964527
7964527,9209546
2137255,9209546
7862558,8380272
3483203,8380272
2823755,7592064
6220759,7592064
4572274,2336654
6403976,2901002
4098013,2901002
10284439,8320861
2137255,8320861
2336654,4909087
2336654,7964527
1773367,8146556
2695448,5506894
7964527,5506894
1359058,9209546
6580543,9209546
7141506,4557382
3866172,4557382
7024766,2901002
6671176,3483203
6671176,2535611
8380272,487339
4909087,487339
2535611,487339
7964527,487339
8380272,4909087
7964527,4909087
4333359,3483203
4819449,3639023
7964527,3639023
8380272,3483203
9003475,3483203
4909087,7964527
6195815,2901002
1252759,3483203
230454,1252759
7273886,1252759
8258902,1252759
10232261,4909087
2701933,4909087
9341104,3483203
6552084,3483203
4585713,3483203
9209546,2901002
9209546,7964527
3483203,2535611
1717828,2535611
3483203,2535611
2535611,9209546
10101628,6671176
9274732,2901002
797495,2136892
7964527,2136892
2314391,2136892
9435107,6361531
2695448,6361531
2535611,2901002
7938217,190597
9299259,4737952
6615163,7964527
7571052,8146556
8166632,8146556
7964527,9209546
7964527,704848
9209546,704848
7964527,8380272
7964527,4593127
4264155,2901002
6671176,2901002
3141704,2901002
7386332,2137255
7619676,6361531
9209546,2901002
532312,2901002
9209546,2901002
5811078,2901002
7746365,2901002
3704368,3483203
2535611,3483203
3704368,2137255
2535611,2137255
9806717,7386332
2303761,7964527
2570261,7964527
8305660,9232410
532312,9232410
1267132,9209546
6158987,2901002
9209546,6321559
7386332,7964527
10004959,9209546
10004959,2901002
9609447,2336654
2336654,7964527
2336654,2901002
5811078,2901002
4923452,9209546
4871110,9209546
4923452,2336654
4871110,2336654
4333359,1592364
3154212,4909087
4800652,4909087
8708364,4492932
9609447,5085211
3483203,5085211
4909087,7964527
5811078,2901002
532312,2901002
3520965,6671176
202229,704848
170005,704848
9209546,7564333
2901002,4684861
4098013,2901002
8305660,3483203
5647038,3483203
4684861,3483203
532312,8605791
4909087,2867928
6671176,2867928
9209546,2901002
9274732,4909087
3510736,2901002
5178905,2901002
9209546,2901002
9321816,2901002
7964527,4585963
9209546,2336654
9209546,7964527
2901002,9740103
7964527,9740103
6671176,2901002
2336654,7964527
6361531,6671176
2823755,2901002
4871110,5811078
8839068,2901002
3483203,2336654
7964527,2336654
2336654,9209546
5907870,3510736
714319,4983450
9299259,7964527
8008776,7964527
6671176,7964527
9253686,7207392
304093,7207392
5811078,7207392
4962332,7207392
5741205,4909087
7964527,4909087
9209546,2901002
5014700,4492932
5014700,667883
7964527,9209546
7932273,2901002
2074981,9209546
3318273,9209546
4683950,6287308
9209546,5741205
7964527,5741205
2145789,6287308
4909087,6287308
2336654,6287308
9209546,6287308
9299259,6287308
374092,2901002
7964527,2901002
79793,9209546
5514476,9209546
1088415,9209546
2570261,9209546
2570261,6287308
5017267,4909087
146073,2901002
6764663,2901002
9209546,5741205
7964527,2336654
9209546,2336654
7964527,4909087
9209546,4909087
1499803,7368203
9209546,7368203
2901002,7368203
3877338,2411802
8879248,2901002
7724156,6786975
2285236,6786975
4829258,9416508
4829258,2901002
9209546,2901002
9295613,2336654
8431275,2336654
4873159,4055021
4873159,9183344
9209546,7996271
7964527,6361531
7359810,6361531
4505244,6361531
7386332,1187220
7326738,1187220
9183344,6361531
7964527,6361531
7964527,5241032
1534017,837534
9209546,837534
7964527,5741205
4492932,5741205
2336654,826983
5178905,2901002
532312,2901002
7964527,4829258
323303,2901002
7964527,5741205
3522130,8841872
3522130,4909087
7926383,5514476
7926383,6520041
2901002,826983
7134286,9099959
8840163,9099959
7853947,2799941
7505395,2799941
4016285,4909087
6361531,4909087
9069224,7386332
8166632,7747975
6361531,7267841
5003756,7267841
6361531,534238
5003756,534238
9017455,7134286
5003756,7964527
7106045,5741205
3639023,4044103
4983450,2901002
996205,7964527
8896651,7964527
2285236,7964527
2901002,4800652
2336654,1240268
7954504,1240268
7964527,1240268
8807079,4800652
890242,2901002
2336654,2901002
4995030,2901002
5741205,6287308
2336974,6287308
5811078,7964527
6341054,7964527
7780353,2901002
6573902,2137255
6451244,2137255
8347081,100297
7571052,5633320
2336654,4800652
7068859,2901002
6287308,3293881
7964527,3293881
4359551,2137255
2336654,6361531
5741205,190597
5741205,5393381
4800652,2901002
1782792,2901002
2901002,2336654
4900574,2336654
8368216,5741205
7491646,2901002
2080228,8166632
2137255,2901002
7964527,190597
3135417,6361531
2137255,6361531
6342575,5276797
7964527,5741205
2411802,5741205
7964527,2411802
7964527,5741205
7964527,2901002
2324298,2901002
2336654,2901002
7964527,2901002
4760331,2336654
4832296,2336654
5026929,2336654
4760331,2411802
4832296,2411802
5026929,2411802
5075720,2411802
812662,2901002
5514476,2336654
6342575,2336654
4983450,2336654
2137255,1453822
2336654,4686625
2411802,4686625
4909087,4686625
7672533,5003756
3293881,2901002
314922,5393381
314922,2821252
7964527,5741205
5241032,6361531
5241032,2901002
4955404,2901002
7964527,7982275
2336654,2285236
7964527,2336654
3731467,6342575
3626961,2336654
7311767,1240268
667883,2336654
6163621,2336654
667883,2901002
5520354,5741205
5520354,837534
6361531,5741205
7607701,6287308
2336654,624829
6817835,2901002
5003756,3628236
2336654,1427416
5952674,1427416
6287308,1427416
2336654,6207849
1753919,2336654
4686625,4983450
2336654,487339
6287308,487339
3877338,2336654
5741205,6207849
6207849,2901002
4983450,2336654
704848,5741205
2901002,4492932
2336654,704848
2901002,190597
2411802,2901002
2336654,2285236
2336654,2411802
2901002,5741205
1910242,3628236
2901002,3510736
2411802,3510736
704848,837534
487339,704848
1240268,704848
170005,704848
